Time (s),User Amplitude,Original Position,Final Position
0.22092223167419434,0.0,0,6.878186225891113
0.39098596572875977,0.0,0,6.878186225891113
0.5566561222076416,0.0,0,6.878186225891113
0.7242748737335205,0.0,0,6.878186225891113
0.8905951976776123,0.0,0,6.878186225891113
1.057183027267456,0.0,0,6.878186225891113
1.2236700057983398,0.0,0,6.878186225891113
1.3907511234283447,0.0,0,6.878186225891113
1.5556890964508057,0.0,0,6.878186225891113
1.7242958545684814,0.0,0,6.878186225891113
1.892009973526001,0.0,0,6.878186225891113
2.0576040744781494,0.0,0,6.878186225891113
2.2250030040740967,0.0,0,6.878186225891113
2.3907411098480225,0.0,0,6.878186225891113
2.5582962036132812,0.0,0,6.878186225891113
2.7243590354919434,0.0,0,6.878186225891113
2.8885371685028076,0.0,0,6.878186225891113
3.0565781593322754,0.0,0,6.878186225891113
3.2244069576263428,0.0,0,6.878186225891113
3.3893351554870605,0.0,0,6.878186225891113
3.5573370456695557,0.0,0,6.878186225891113
3.7251079082489014,0.0,0,6.878186225891113
3.8887429237365723,0.0,0,6.878186225891113
4.058315992355347,0.0,0,6.878186225891113
4.224467992782593,0.0,0,6.878186225891113
4.3903210163116455,0.0,0,6.878186225891113
4.557574987411499,0.0,0,6.878186225891113
4.724635124206543,0.0,0,6.878186225891113
4.891064167022705,0.0,0,6.878186225891113
5.0580291748046875,0.0,0,6.878186225891113
5.224095106124878,0.0,0,6.878186225891113
5.390885829925537,0.0,0,6.878186225891113
5.55771017074585,0.0,0,6.878186225891113
5.72462797164917,0.0,0,6.878186225891113
5.891335964202881,0.0,0,6.878186225891113
