Time (s),User Amplitude,Original Position,Final Position
0.22702407836914062,0.5,9.554556463006355,4.777278231503177
0.39170312881469727,0.5,9.557284291870351,4.7786421459351756
0.56069016456604,0.5,9.586238975865841,4.793119487932921
0.7263343334197998,0.5,9.303896623648784,4.651948311824392
0.8922770023345947,0.5,9.768624271920865,4.884312135960433
1.0603561401367188,0.5,9.638701946587537,4.819350973293768
1.2260420322418213,0.5,9.481173367816952,4.740586683908476
1.392496109008789,0.5,9.73327958227009,4.866639791135045
1.5604829788208008,0.5,9.24077139798944,4.62038569899472
1.7248382568359375,0.5,9.599851559492807,4.799925779746403
1.894564151763916,0.5,9.843270318118403,4.921635159059202
2.061028003692627,0.5,9.41431477103782,4.70715738551891
2.2273781299591064,0.5,9.700457275722854,4.850228637861427
2.3944640159606934,0.5,9.362264445486268,4.681132222743134
2.5609099864959717,0.5,9.401470513668484,4.700735256834242
2.7276992797851562,0.5,9.903774271933147,4.951887135966573
2.8940563201904297,0.5,9.46809261973769,4.734046309868845
3.059922218322754,0.5,9.642346991012799,4.821173495506399
3.2249131202697754,0.5,9.57696609158667,4.788483045793335
3.392636299133301,0.5,9.252025574188783,4.626012787094392
3.558871030807495,0.5,9.899227500671548,4.949613750335774
3.72729229927063,0.5,9.532328680193029,4.766164340096514
3.8912832736968994,0.5,9.447369943433447,4.7236849717167235
4.060402154922485,0.5,9.77535467695847,4.887677338479235
4.227001190185547,0.5,9.253870806552621,4.626935403276311
4.390543222427368,0.185,26.000408410366035,4.810075555917717
4.560447931289673,0.24,20.171064430636797,4.841055463352831
4.726354122161865,0.275,17.27339422668574,4.750183412338578
4.894773960113525,0.3,16.116122304799276,4.834836691439783
5.06029200553894,0.32499999999999996,14.434413584610013,4.691184414998253
5.227277040481567,0.32999999999999996,14.427616298480173,4.7611133784984565
5.394367933273315,0.33999999999999997,14.42217156305657,4.903538331439234
5.560564994812012,0.38,12.458794277807723,4.7343418255669345
5.726640224456787,0.425,11.330081778092106,4.815284755689145
5.893758296966553,0.44,10.834699053037154,4.767267583336348
6.060556173324585,0.44,10.610787875250569,4.66874666511025
6.226298093795776,0.44,11.248137245456112,4.9491803880006895
6.393604040145874,0.44,10.91150388614274,4.801061709902806
6.559328079223633,0.44,10.893258390475543,4.793033691809239
6.725635051727295,0.44,10.944559337110292,4.815606108328528
6.891593933105469,0.44,10.571211391770694,4.651333012379105
7.059768199920654,0.44,11.080523529653535,4.875430353047555
7.226893186569214,0.44,11.041011247825192,4.858044949043085
7.393773078918457,0.44,10.789568787169035,4.747410266354375
7.560465097427368,0.44,11.037305679152608,4.856414498827148
7.724354028701782,0.44,10.586215487283733,4.657934814404842
7.892659902572632,0.44,10.90436980423412,4.797922713863013
8.060687065124512,0.44,11.150063276679289,4.906027841738887
8.226887226104736,0.44,10.76037953436876,4.734566995122254
8.392450094223022,0.44,11.017298005481013,4.847611122411646
8.55811619758606,0.44,10.793880211390716,4.749307293011915
8.727075099945068,0.44,10.69923879456867,4.707665069610215
8.893473148345947,0.5,9.959357170802052,4.979678585401026
9.06032109260559,0.56,8.466629474018601,4.741312505450417
9.224555015563965,0.56,8.563930195512862,4.795800909487204
9.39396619796753,0.56,8.615180847461875,4.82450127457865
9.560161113739014,0.585,7.887497036468548,4.6141857663341
9.726030111312866,0.685,7.264587687611476,4.976242566013862
9.893885135650635,0.6950000000000001,6.946914523065458,4.828105593530494
10.05807900428772,0.6950000000000001,6.772712940798292,4.707035493854813
10.225833892822266,0.74,6.62678159850388,4.9038183828928705
10.392795085906982,0.78,5.774711406706799,4.504274897231303
10.559913158416748,0.78,6.278095620240989,4.8969145837879715
10.72647500038147,0.78,6.362770366144734,4.962960885592893
10.893721103668213,0.78,5.993301284335723,4.674775001781864
11.060294151306152,0.78,6.334718072504356,4.941080096553398
11.226935148239136,0.78,5.809700190752481,4.531566148786935
11.393367052078247,0.78,5.706344126174588,4.4509484184161785
11.56040906906128,0.76,7.2902665397758035,5.540602570229611
11.727978944778442,0.735,5.847508515360275,4.297918758789802
11.891597986221313,0.72,7.069885116036997,5.0903172835466375
12.06126618385315,0.715,6.944687065752063,4.965451252012725
12.227277040481567,0.6950000000000001,5.418799935627903,3.766065955261393
12.3940589427948,0.685,8.61721338698881,5.902791170087335
12.560384035110474,0.685,6.476991401229513,4.436739109842216
12.727366209030151,0.685,6.629820128383983,4.541426787943029
12.893775224685669,0.685,8.241655311463637,5.645533888352592
13.061439990997314,0.0,0,4.788346290588379
13.227326154708862,0.0,0,4.788346290588379
13.392446994781494,0.0,0,4.788346290588379
