# Music-Motor Synchronization Data
# Song: Is There Anybody Out There
# Pattern: simple
# BPM: 178.2
# Music Frequency: 2.970 Hz
# Phase Lag: 33828.66 ms
# Correlation: -0.000858
# Mean Peak Offset: 90.11 ms
# Peak Offset Std: 1554.29 ms
# Number of Peaks: 115

# Peak Timing Offsets (Positive = Motor Late)
Peak Time (s),Timing Offset (ms)
0.3937239646911621,1335.5388641357422
0.727607011795044,1001.6558170318604
1.0602288246154785,669.0340042114258
1.3933088779449463,335.953950881958
1.7292628288269043,0.0
2.0603280067443848,-331.06517791748047
2.394036054611206,0.0
2.728276014328003,332.6730728149414
3.0609490871429443,0.0
3.395442008972168,333.16612243652344
8.893347978591919,169.0988540649414
9.226891994476318,-164.445161819458
9.561898946762085,-499.4521141052246
9.895438194274902,-832.991361618042
10.227477073669434,-1165.0302410125732
10.562122106552124,-1499.6752738952637
10.89574408531189,-1833.2972526550293
11.22961688041687,-2167.1700477600098
11.561769962310791,-2499.3231296539307
11.892899990081787,-2830.4531574249268
12.228991031646729,-3166.544198989868
12.560081005096436,-3497.634172439575
12.89323091506958,-3830.7840824127197
13.22895097732544,4000.005006790161
13.560920000076294,3668.0359840393066
13.893115043640137,3335.840940475464
14.228698015213013,3000.257968902588
14.559780836105347,2669.175148010254
14.894109010696411,2334.8469734191895
15.229074954986572,1999.8810291290283
15.561825037002563,1667.130947113037
15.894737005233765,1334.218978881836
16.22809600830078,1000.8599758148193
16.560883045196533,668.0729389190674
16.894829034805298,334.12694931030273
17.2289559841156,0.0
17.56180214881897,332.8287601470947
17.894630908966064,0.0
18.228299140930176,-333.6682319641113
18.56230092048645,0.0
18.895678997039795,332.64803886413574
19.22832703590393,0.0
19.56213402748108,332.34405517578125
19.89447808265686,0.0
25.72843289375305,167.06013679504395
26.060662031173706,-165.16900062561035
26.395076990127563,-499.5839595794678
26.728932857513428,-833.439826965332
27.060565948486328,-1165.0729179382324
27.394431114196777,-1498.9380836486816
27.729396104812622,-1833.9030742645264
28.060192108154297,-2164.699077606201
28.395820140838623,-2500.3271102905273
28.728399991989136,-2832.90696144104
29.062696933746338,-3167.203903198242
29.395544052124023,-3500.0510215759277
29.728668928146362,-3833.1758975982666
30.061372995376587,3999.4921684265137
30.394994020462036,3665.8711433410645
30.72912311553955,3331.74204826355
31.059854984283447,3001.0101795196533
31.394325971603394,2666.539192199707
31.72630786895752,2334.557294845581
32.059906005859375,2000.9591579437256
32.393105030059814,1667.7601337432861
32.728599071502686,1332.266092300415
33.06148409843445,999.3810653686523
33.39446783065796,666.3973331451416
33.72635078430176,334.5143795013428
34.0608651638031,0.0
34.39429783821106,-333.432674407959
34.72857904434204,0.0
35.061070919036865,330.5180072784424
35.39158892631531,0.0
35.72854399681091,331.9849967956543
36.06052899360657,0.0
36.39554476737976,330.6841850280762
42.561928033828735,166.76712036132812
42.895177125930786,-166.48197174072266
43.226974964141846,168.18690299987793
43.56220078468323,-167.0389175415039
43.89556002616882,163.93399238586426
44.229161977767944,-169.66795921325684
44.5619900226593,164.31307792663574
44.89519381523132,-168.89071464538574
45.229413986206055,332.75413513183594
45.56216812133789,0.0
45.89412999153137,-331.96187019348145
46.2285840511322,0.0
46.56283903121948,333.0259323120117
46.895864963531494,0.0
47.229347229003906,332.80277252197266
47.56215000152588,0.0
47.89352822303772,-331.3782215118408
48.22834801673889,0.0
48.56214189529419,-333.79387855529785
48.89728498458862,0.0
49.22566890716553,-328.3839225769043
49.56133413314819,0.0
49.895474910736084,333.2531452178955
50.22872805595398,0.0
50.56275200843811,333.2970142364502
50.89604902267456,0.0
51.22805190086365,-332.0028781890869
51.561129093170166,0.0
51.89532017707825,333.4059715270996
52.22872614860535,0.0
52.56236505508423,333.05907249450684
52.895424127578735,0.0
53.2298150062561,330.32703399658203
59.39396691322327,165.64702987670898
59.725749015808105,-166.13507270812988
60.0611789226532,332.96990394592285
60.39414882659912,0.0
60.728394985198975,-334.2461585998535

# Full Time Series Data
Time (s),Music Sinusoid,Actual Position (centered)
0.22870612144470215,-2.660954744501576,0.3117046356201172
0.3937239646911621,2.577224340240995,0.5778579711914062
0.5626330375671387,-2.5921381446342826,-0.7613372802734375
0.727607011795044,2.4988591825327844,-1.0689983367919922
0.8954551219940186,-2.4842729252242868,1.1146926879882812
1.0602288246154785,2.3731727561423783,1.3230667114257812
1.2287991046905518,-2.3805090996991463,-0.9475250244140625
1.3933088779449463,2.250176918532255,-1.2740745544433594
1.5622050762176514,-2.2696465773069403,0.9190101623535156
1.7292628288269043,2.223846141951964,1.5011177062988281
1.8950369358062744,-2.1285491694960035,-0.7254085540771484
2.0603280067443848,2.0089993101036825,-1.548257827758789
2.2271029949188232,-1.944982152264865,0.6627216339111328
2.394036054611206,1.8859848991460484,1.5077934265136719
2.5622029304504395,-1.8784604201434623,-0.4948616027832031
2.728276014328003,1.7805335124044275,-1.5245075225830078
2.8952460289001465,-1.7197075105091761,0.5244960784912109
3.0609490871429443,1.599679366412061,1.6298236846923828
3.228316068649292,-1.554254347366668,-0.46242332458496094
3.395442008972168,1.4969074842755425,-1.5893440246582031
3.5619630813598633,-1.4096620429332223,0.2976551055908203
3.7286081314086914,1.326876182392238,1.5939464569091797
3.894808053970337,-1.2205145031178055,-0.164794921875
4.059223175048828,1.0206941203610598,-1.4586334228515625
4.230629920959473,-1.1769299636237682,0.21018600463867188
4.398829936981201,1.1696317439820785,1.3815383911132812
4.5622239112854,-0.9150775936417902,-0.15309715270996094
4.729077100753784,0.8367578528528079,-1.2661495208740234
4.895480155944824,-0.733838991608224,-0.039276123046875
5.061331033706665,0.6002566572303849,1.2605934143066406
5.22885799407959,-0.5561580525356141,0.11901283264160156
5.394136905670166,0.389754811867116,-1.2401103973388672
5.561740159988403,-0.3492999162392344,-0.06103515625
5.728852987289429,0.281941149669223,1.2990379333496094
5.895796060562134,-0.20512081274822222,0.08500099182128906
6.060447931289673,0.0021871933229223443,-1.5918083190917969
6.227106094360352,0.09055447117222698,-0.2884941101074219
6.3953258991241455,-0.09741848051876112,1.616170883178711
6.562421083450317,0.1660684967491289,0.306549072265625
6.72708797454834,-0.36747109893745644,-1.609344482421875
6.895834922790527,0.3455088550277335,-0.2999248504638672
7.060750961303711,-0.5319444292231056,1.5541515350341797
7.228193998336792,0.580641179071188,0.3232383728027344
7.394938945770264,-0.6666280571132575,-1.5801277160644531
7.562481880187988,0.7095035717842413,-0.4637317657470703
7.726861000061035,-0.919054502245081,1.5920467376708984
7.893678903579712,0.9984537297483085,0.5209770202636719
8.06085991859436,-1.0584285582121964,-1.5577526092529297
8.226689100265503,1.186334132254475,-0.5391864776611328
8.393702983856201,-1.252961435556653,1.5166893005371094
8.561721801757812,1.2691594248111284,0.6064357757568359
8.72874402999878,-1.3344093768663767,-1.543954849243164
8.893347978591919,1.5144485592365555,-0.6932640075683594
9.06244683265686,-1.478716059750211,1.5362663269042969
9.226891994476318,1.6601572761249812,0.5813312530517578
9.39487600326538,-1.676508973337147,-1.2168464660644531
9.561898946762085,1.735778673070883,-0.4412498474121094
9.726218938827515,-1.9096044380106407,1.1510772705078125
9.895438194274902,1.872713910921122,0.5985965728759766
10.058977127075195,-2.0690030627964724,-1.1726608276367188
10.227477073669434,2.062912712620241,-0.56787109375
10.396408796310425,-2.0397307475740365,1.2297954559326172
10.562122106552124,2.1416900673058157,0.5195980072021484
10.727941989898682,-2.2346690242971903,-1.1783180236816406
10.89574408531189,2.254009521115256,-0.6024913787841797
11.06028699874878,-2.3829351877205824,1.1925983428955078
11.22961688041687,2.350650434734041,0.7857761383056641
11.394980907440186,-2.445845358164491,-1.4556446075439453
11.561769962310791,2.4925412681477166,-0.814361572265625
11.728408098220825,-2.5413499644666717,1.3898735046386719
11.892899990081787,2.641993964980271,0.8478336334228516
12.062272071838379,-2.616470122488307,-1.3702545166015625
12.228991031646729,2.6564106128143132,-0.8771152496337891
12.398335933685303,-2.6321240060946507,1.3868045806884766
12.560081005096436,2.775054143975925,1.0958938598632812
12.7259840965271,-2.817374407946647,-1.3181381225585938
12.89323091506958,2.8345024813828554,-1.0662555694580078
13.062044858932495,-2.8273263343687627,1.2276649475097656
13.22895097732544,2.8486359657685636,0.9605579376220703
13.395612955093384,-2.8709560500041653,-1.2053031921386719
13.560920000076294,2.90406798711164,-1.2209453582763672
13.72698712348938,-2.9227793813461926,1.2049369812011719
13.893115043640137,2.9359218431637015,1.2290229797363281
14.06044602394104,-2.9402588870877295,-1.1597766876220703
14.228698015213013,2.9406029392038504,-1.1676082611083984
14.392844200134277,-2.9469525105599907,1.0343456268310547
14.559780836105347,2.945031842884791,1.198495864868164
14.728294849395752,-2.9453704411025994,-1.0324859619140625
14.894109010696411,2.937248703958536,-1.3292064666748047
15.061783075332642,-2.9339975491018757,1.0960426330566406
15.229074954986572,2.9279668071721408,1.3446216583251953
15.394638061523438,-2.906602968825235,-0.9308280944824219
15.561825037002563,2.895399599125103,-1.2956371307373047
15.728325843811035,-2.8747681117545065,0.8915252685546875
15.894737005233765,2.8494783640564054,1.3781414031982422
16.060750246047974,-2.814054133613668,-0.9032421112060547
16.22809600830078,2.797242383081876,-1.4682025909423828
16.39497399330139,-2.7707982663946136,0.9186363220214844
16.560883045196533,2.722309347363773,1.4207229614257812
16.728355169296265,-2.703564814762253,-0.7061672210693359
16.894829034805298,2.6609657235002,-1.4114189147949219
17.0596821308136,-2.572829518016864,0.6669826507568359
17.2289559841156,2.597366975302668,1.5468940734863281
17.39532709121704,-2.544326899525201,-0.7518367767333984
17.56180214881897,2.49089629712275,-1.5263862609863281
17.72688317298889,-2.3904014912931415,0.6158847808837891
17.894630908966064,2.3710501057682287,1.5258369445800781
18.059993982315063,-2.2700369545197883,-0.4990825653076172
18.228299140930176,2.2686504248284165,-1.5249290466308594
18.394789934158325,-2.2022227812765602,0.4922618865966797
18.56230092048645,2.171486433571445,1.6153526306152344
18.72889804840088,-2.1053612841784943,-0.5498313903808594
18.895678997039795,2.04429149757607,-1.6075763702392578
19.060281991958618,-1.8911988380371925,0.40725135803222656
19.22832703590393,1.878530619353744,1.5559616088867188
19.3958101272583,-1.8417772130303038,-0.3058624267578125
19.56213402748108,1.7537238653231795,-1.6314678192138672
19.728549003601074,-1.6673096276750126,0.29163169860839844
19.89447808265686,1.5561027489936115,1.647878646850586
20.06208109855652,-1.521314059465103,-0.3719921112060547
20.22608208656311,1.3119344142331226,-1.607828140258789
20.394535064697266,-1.3172657301528783,0.12215995788574219
20.562787771224976,1.3127391917576272,1.5978984832763672
20.726536989212036,-1.0819053220637256,-0.020162582397460938
20.895539045333862,1.115454104252885,-1.6585445404052734
21.060163974761963,-0.9235577575488922,0.15928268432617188
21.226074934005737,0.7955399290664942,1.642538070678711
21.394516944885254,-0.8006934467223401,-0.043384552001953125
21.562530040740967,0.7831279120192202,-1.6216487884521484
21.72861123085022,-0.6624517768411456,-0.07395172119140625
21.8961501121521,0.6191951046380871,1.6139240264892578
22.061476945877075,-0.45602635759329013,0.07448768615722656
22.228627920150757,0.39105738812346885,-1.6683235168457031
22.39472007751465,-0.26795799114469443,-0.05384254455566406
22.559168100357056,0.054014556919363965,1.6151237487792969
22.72898006439209,-0.13467001301795595,0.12085342407226562
22.895256996154785,0.020993562432114816,-1.6158866882324219
23.06148099899292,0.09562368422741203,-0.2940788269042969
23.22713613510132,-0.2432845119956042,1.6253643035888672
23.393697023391724,0.3409027554580561,0.3238105773925781
23.562348127365112,-0.3241569677010948,-1.6243228912353516
23.72800588607788,0.4705683568309479,-0.19421768188476562
23.895219087600708,-0.531890002804688,1.5776081085205078
24.062483072280884,0.5902383550396203,0.40474510192871094
24.226518154144287,-0.8203004273379096,-1.5869789123535156
24.395795106887817,0.7709305813126979,-0.4465656280517578
24.561203002929688,-0.9255901432347808,1.602499008178711
24.728579998016357,0.9759646428186053,0.46500205993652344
24.89546799659729,-1.0511896006202657,-1.54229736328125
25.06196904182434,1.1452768081033293,-0.41347312927246094
25.228452920913696,-1.2388651846470764,1.5404777526855469
25.395809173583984,1.287977249880421,0.5980167388916016
25.561820030212402,-1.4021700623255922,-1.5299434661865234
25.72843289375305,1.48519989645719,-0.6439037322998047
25.895493030548096,-1.5457884644010023,1.5204830169677734
26.060662031173706,1.6916931715455799,0.6626071929931641
26.228227138519287,-1.726621122375077,-1.4765205383300781
26.395076990127563,1.7925673275600877,-0.7396774291992188
26.562254190444946,-1.8431045139689683,1.4721088409423828
26.728932857513428,1.9137013038297017,0.7887096405029297
26.89560890197754,-1.9825551595294235,-1.4925537109375
27.060565948486328,2.1163601562830374,-0.8317222595214844
27.228522062301636,-2.131176684974856,1.3868045806884766
27.394431114196777,2.2214687698774633,0.7492885589599609
27.561323165893555,-2.2731466773644877,-1.3866024017333984
27.729396104812622,2.282629401790233,-0.9640560150146484
27.89375400543213,-2.414884392158666,1.3465614318847656
28.060192108154297,2.4734514892509796,1.0598201751708984
28.227953910827637,-2.490734823337748,-1.3344993591308594
28.395820140838623,2.5047015231686554,-0.9893169403076172
28.562960863113403,-2.538961459722863,1.2629642486572266
28.728399991989136,2.6163316197579105,0.9182758331298828
28.893365144729614,-2.696634354254043,-1.2793521881103516
29.062696933746338,2.6742739887962914,-1.0886363983154297
29.228116035461426,-2.737874848275323,1.3129463195800781
29.395544052124023,2.7561321972895945,1.0988121032714844
29.559338092803955,-2.834732360975991,-1.2572402954101562
29.728668928146362,2.8194157729196143,-0.9757804870605469
29.894447803497314,-2.857263785431716,1.2297191619873047
30.061372995376587,2.8753934309738804,0.9667034149169922
30.22860097885132,-2.8882384743978724,-1.2953548431396484
30.394994020462036,2.9076731385101784,-1.1291122436523438
30.559317111968994,-2.9355366711347313,1.3102493286132812
30.72912311553955,2.927317121748732,1.0647335052490234
30.895596027374268,-2.937452760852566,-1.1874580383300781
31.059854984283447,2.9471175551899282,-1.0864410400390625
31.228667974472046,-2.946878519663583,1.140960693359375
31.394325971603394,2.945191487876493,1.2074470520019531
31.559087991714478,-2.9314288081590583,-1.1207237243652344
31.72630786895752,2.9244016736884344,-1.2872295379638672
31.893603801727295,-2.9166889093141783,1.1462745666503906
32.059906005859375,2.8984645092579995,1.300027847290039
32.226361989974976,-2.8778647049103587,-0.9777965545654297
32.393105030059814,2.85759359260703,-1.2564125061035156
32.56193423271179,-2.863996269775838,0.9870471954345703
32.728599071502686,2.840800724670342,1.322662353515625
32.89560103416443,-2.820251698508577,-1.0111122131347656
33.06148409843445,2.777990287690482,-1.3973522186279297
33.22828507423401,-2.7484912608986822,0.9264125823974609
33.39446783065796,2.7033504768989998,1.3594493865966797
33.559828996658325,-2.6338460256570526,-0.8089962005615234
33.72635078430176,2.5873476524983037,-1.3671951293945312
33.89385104179382,-2.5647901979863734,0.7898273468017578
34.0608651638031,2.527956080290932,2.354055404663086
34.2285361289978,-2.5087097992103677,-1.423990249633789
34.39429783821106,2.4312731768323452,-2.5366287231445312
34.562077045440674,-2.4135606265687013,1.4176349639892578
34.72857904434204,2.353986514679619,2.5907554626464844
34.895323038101196,-2.29997457260263,-1.1819744110107422
35.061070919036865,2.2080075984057883,-2.7149658203125
35.22862911224365,-2.179120910985431,1.248086929321289
35.39158892631531,1.969067378715666,2.7460708618164062
35.55939197540283,-1.9468030271099466,-1.1695194244384766
35.72854399681091,1.9799171929590489,-2.7620716094970703
35.895567893981934,-1.9255141531902114,0.9008255004882812
36.06052899360657,1.7808876702843774,2.6927833557128906
36.22722792625427,-1.707940012176956,-0.8174705505371094
36.39554476737976,1.7066923924134294,-2.9080066680908203
36.5598521232605,-1.5209959452902686,0.723297119140625
36.72622895240784,1.4272894733582693,2.8673572540283203
36.895768880844116,-1.4844439172954775,-0.7276802062988281
37.06064581871033,1.3166903142250592,-2.8345775604248047
