Time (s),User Amplitude,Original Position,Final Position,Actual Position
0.22449111938476562,0.2,-93.37759556074661,-18.675519112149324,-18.67564582824707
0.39216113090515137,0.2,-93.37751327590742,-18.675502655181486,-18.67564582824707
0.5592741966247559,0.2,-93.3854322573087,-18.67708645146174,-18.67564582824707
0.7255232334136963,0.2,-93.362415511751,-18.6724831023502,-18.67564582824707
0.891711950302124,0.2,-93.37315542015114,-18.674631084030228,-18.67564582824707
1.0567762851715088,0.2,-93.76328866162874,-18.752657732325748,-18.72760772705078
1.2252171039581299,0.2,-93.51526901660161,-18.703053803320323,-18.740678787231445
1.3922431468963623,0.2,-92.64059359321062,-18.528118718642126,-18.584009170532227
1.5572800636291504,0.2,-92.95510375374268,-18.591020750748537,-18.56287956237793
1.724412202835083,0.2,-93.74344654639252,-18.748689309278504,-18.73931884765625
1.8926100730895996,0.2,-93.03705178792943,-18.607410357585888,-18.658510208129883
2.0596070289611816,0.2,-93.58003198740465,-18.716006397480932,-18.633262634277344
2.2269201278686523,0.2,-95.09801458595061,-19.019602917190124,-18.990676879882812
2.3926172256469727,0.2,-93.74687351236798,-18.7493747024736,-18.855405807495117
2.557209014892578,0.2,-91.36299086288305,-18.27259817257661,-18.319597244262695
2.7258121967315674,0.2,-92.51563823747242,-18.503127647494484,-18.44257354736328
2.892766237258911,0.2,-93.95342929029067,-18.790685858058136,-18.80003547668457
3.0586061477661133,0.2,-92.91960611471598,-18.583921222943196,-18.619726181030273
3.2265751361846924,0.2,-94.01441544914294,-18.80288308982859,-18.706340789794922
3.3928020000457764,0.2,-96.55735495547405,-19.31147099109481,-19.24776268005371
3.556089162826538,0.2,-93.7953524826311,-18.75907049652622,-18.908239364624023
3.7243001461029053,0.2,-88.54198842514933,-17.708397685029865,-17.795019149780273
3.891636371612549,0.2,-90.55823313752195,-18.111646627504392,-18.039474487304688
4.060211181640625,0.2,-94.00437967156965,-18.800875934313932,-18.84125328063965
4.225509166717529,0.2,-92.74780371033148,-18.549560742066298,-18.595582962036133
4.392468214035034,0.2,-95.78508077545827,-19.157016155091654,-18.99424934387207
4.557135105133057,0.2,-99.64188764956086,-19.928377529912172,-19.99338722229004
4.726315975189209,0.2,-92.45544069594723,-18.491088139189447,-18.886173248291016
4.892865180969238,0.2,-88.13915240140254,-17.627830480280508,-17.530345916748047
5.059114933013916,0.2,-92.23965426539067,-18.447930853078134,-18.267654418945312
5.226895093917847,0.2,-94.37444947460537,-18.874889894921075,-18.92674446105957
5.392297267913818,0.2,-92.18328990523337,-18.436657981046675,-18.468250274658203
5.559326171875,0.2,-95.7116025302183,-19.14232050604366,-18.928329467773438
5.725987195968628,0.2,-97.94394279479535,-19.58878855895907,-19.67833137512207
