Time (s),User Amplitude,Original Position,Final Position,Actual Position
0.22768020629882812,0.35,-52.484817183331735,-18.369686014166106,-18.368906021118164
0.39456725120544434,0.35,-52.623888297091206,-18.41836090398192,-18.36878776550293
0.5613641738891602,0.35,-52.568791302807035,-18.399076955982462,-18.369003295898438
0.7263591289520264,0.35,-52.55270033790191,-18.393445118265667,-18.369003295898438
0.8927862644195557,0.35,-52.852997102989505,-18.498548986046327,-18.432899475097656
1.059629201889038,0.35,-52.429932165380094,-18.35047625788303,-18.426782608032227
1.2273740768432617,0.35,-52.38978877304344,-18.336426070565203,-18.34254264831543
1.3917770385742188,0.35,-52.73019440586488,-18.455568042052708,-18.391374588012695
1.559833288192749,0.35,-52.46459839025159,-18.362609436588055,-18.402835845947266
1.7276160717010498,0.35,-52.61758157717243,-18.41615355201035,-18.40190315246582
1.892195224761963,0.35,-52.85752166604159,-18.500132583114556,-18.475704193115234
2.059176206588745,0.35,-52.27228374988667,-18.295299312460333,-18.389209747314453
2.2284631729125977,0.35,-52.347438515906205,-18.32160348056717,-18.314159393310547
2.392768144607544,0.35,-52.71638474159302,-18.450734659557554,-18.412227630615234
2.5589582920074463,0.35,-52.43792403434459,-18.353273412020606,-18.40999412536621
2.725510358810425,0.35,-52.748636940000246,-18.462022929000085,-18.415176391601562
2.8940441608428955,0.35,-52.721017489751944,-18.452356121413178,-18.466049194335938
3.060230255126953,0.35,-52.315804123496434,-18.310531443223752,-18.35795021057129
3.228581190109253,0.35,-52.60418089303295,-18.41146331256153,-18.355466842651367
3.3941493034362793,0.35,-52.661904716054686,-18.43166665061914,-18.413681030273438
3.5611572265625,0.35,-52.39163926471045,-18.337073742648656,-18.3890438079834
3.727910280227661,0.35,-52.916225292971184,-18.520678852539913,-18.443883895874023
3.894026041030884,0.35,-52.590247352343425,-18.406586573320197,-18.491870880126953
4.060785293579102,0.35,-52.255256154032566,-18.289339653911398,-18.330087661743164
4.227657079696655,0.35,-52.727750207045716,-18.454712572466,-18.380422592163086
4.394259214401245,0.35,-52.56825375450482,-18.398888814076688,-18.419477462768555
4.5597851276397705,0.35,-52.483109013569155,-18.369088154749203,-18.40174674987793
4.727671146392822,0.35,-52.90106542001162,-18.515372897004067,-18.444774627685547
4.8945441246032715,0.35,-52.5264697089257,-18.384264398123996,-18.438936233520508
5.059269189834595,0.35,-52.29725255151589,-18.30403839303056,-18.31971549987793
5.227495193481445,0.35,-52.72660732571504,-18.45431256400026,-18.38900375366211
5.394816160202026,0.35,-52.49490164001333,-18.373215574004664,-18.406757354736328
5.558742046356201,0.35,-52.69812307021864,-18.444343074576523,-18.405982971191406
5.726773023605347,0.35,-52.9019815306672,-18.51569353573352,-18.48948860168457
5.8946239948272705,0.35,-52.40346916640515,-18.3412142082418,-18.396556854248047
6.0591721534729,0.35,-52.42708934975045,-18.349481272412657,-18.342605590820312
6.227078199386597,0.35,-52.70126225653472,-18.44544178978715,-18.394468307495117
6.3940160274505615,0.35,-52.45884323574678,-18.36059513251137,-18.39539909362793
6.560642242431641,0.35,-52.79994160129251,-18.479979560452378,-18.408967971801758
6.727508068084717,0.35,-52.807921469766654,-18.48277251441833,-18.482162475585938
6.89404821395874,0.35,-52.30202433300535,-18.30570851655187,-18.371387481689453
7.060754299163818,0.35,-52.53829612545608,-18.388403643909626,-18.353633880615234
7.228156328201294,0.35,-52.659185339447546,-18.43071486880664,-18.381820678710938
7.394010305404663,0.35,-52.47739607855334,-18.36708862749367,-18.38099479675293
7.561293125152588,0.35,-52.85131044361034,-18.497958655263616,-18.442663192749023
7.727807998657227,0.35,-52.718848754019774,-18.45159706390692,-18.49772071838379
7.8945090770721436,0.35,-52.24123836322208,-18.284433427127727,-18.338233947753906
8.060772180557251,0.35,-52.65061282639319,-18.427714489237616,-18.361888885498047
8.227992057800293,0.35,-52.588157402275314,-18.405855090796358,-18.403671264648438
8.39478611946106,0.35,-52.55987748897072,-18.39595712113975,-18.40284538269043
8.56010913848877,0.35,-52.887012895452465,-18.510454513408362,-18.462114334106445
8.727916240692139,0.35,-52.47875768809621,-18.367565190833673,-18.4547061920166
8.894451379776001,0.35,-52.30860022501093,-18.308010078753824,-18.34046745300293
9.060054063796997,0.35,-52.75195706116384,-18.463184971407344,-18.405414581298828
9.227555274963379,0.35,-52.45659441877087,-18.359808046569803,-18.42437744140625
9.394748210906982,0.35,-52.566819825897014,-18.398386939063954,-18.40199089050293
9.561200141906738,0.35,-52.853651454528574,-18.498778009085,-18.443710327148438
9.727948188781738,0.35,-52.37250386337016,-18.330376352179556,-18.410795211791992
9.894635200500488,0.35,-52.4362571993524,-18.352690019773338,-18.35096549987793
10.061008214950562,0.35,-52.7460023202731,-18.461100812095584,-18.409643173217773
10.227941274642944,0.35,-52.42906971211323,-18.35017439923963,-18.405742645263672
10.3944411277771,0.35,-52.71780740299185,-18.451232591047148,-18.407352447509766
10.559765100479126,0.305,-60.580697685957155,-18.477112794216932,-18.501937866210938
10.726575136184692,0.32,-57.17903185814823,-18.297290194607434,-18.356658935546875
10.894859075546265,0.32,-57.480648779541774,-18.39380760945337,-18.342214584350586
11.061136245727539,0.32,-57.569177242836,-18.42213671770752,-18.388900756835938
11.228230237960815,0.32,-57.320724230470795,-18.342631753750656,-18.38758659362793
11.394703149795532,0.32,-57.94546695972908,-18.542549427113308,-18.497989654541016
11.560692071914673,0.32,-57.71080362444584,-18.46745715982267,-18.569169998168945
