# Music-Motor Synchronization Data
# Song: Lacrimosa
# Pattern: none
# BPM: 68.0
# Music Frequency: 1.133 Hz
# Phase Lag: -1838.17 ms
# Correlation: 0.000000
# RMS Difference: 0.734448

Time (s),Music Sinusoid,Actual Position (centered),Difference
0.2263948917388916,0.9991456601227442,-0.001708984375,1.0008546444977442
0.39350104331970215,0.3330260079937254,-0.001708984375,0.3347349923687254
0.5610418319702148,-0.7536056505183975,-0.001708984375,-0.7518966661433975
0.7272567749023438,-0.8932225752672538,-0.001708984375,-0.8915135908922538
0.8938100337982178,0.081456471392289,-0.001708984375,0.083165455767289
1.0601069927215576,0.9538272984076872,-0.001708984375,0.9555362827826872
1.2247438430786133,0.6468900541676212,-0.001708984375,0.6485990385426212
1.3954288959503174,-0.4898625361701449,-0.001708984375,-0.4881535517951449
1.5614829063415527,-0.992372497952437,-0.001708984375,-0.990663513577437
1.7267348766326904,-0.2671783396606731,-0.001708984375,-0.2654693552856731
1.8943219184875488,0.797359304172291,-0.001708984375,0.799068288547291
2.0625407695770264,0.8525348600936511,-0.001708984375,0.8542438444686511
