# Music-Motor Synchronization Data
# Song: So Easy
# Pattern: none
# BPM: 104.0
# Music Frequency: 1.733 Hz
# Phase Lag: -60674.42 ms
# Correlation: 0.000000
# Mean Peak Offset: 0.00 ms
# Peak Offset Std: 0.00 ms
# Number of Peaks: 0

# Peak Timing Offsets (Positive = Motor Late)
Peak Time (s),Timing Offset (ms)

# Full Time Series Data
Time (s),Music Sinusoid,Actual Position (centered)
0.2256298065185547,0.6321239851828995,0.0
0.3927769660949707,-0.9069912955191125,0.0
0.5607969760894775,-0.1747255449414811,0.0
0.7269711494445801,0.9979937176183165,0.0
0.8908679485321045,-0.2739860735229052,0.0
1.0584208965301514,-0.8620307040380099,0.0
1.2238788604736328,0.6908875710722284,0.0
1.393608808517456,0.5058546666081413,0.0
1.5598890781402588,-0.9581767767800492,0.0
1.7266180515289307,-0.04519448981246047,0.0
1.8916170597076416,0.9836688549306012,0.0
2.0603749752044678,-0.43324990078594555,0.0
2.2246971130371094,-0.7857381686187659,0.0
2.3932127952575684,0.8024508653134229,0.0
2.5585319995880127,0.3983654131202635,0.0
2.7271130084991455,-0.989572391569449,0.0
2.893756866455078,0.09939416127705984,0.0
3.057374954223633,0.9521188738018472,0.0
3.226875066757202,-0.5529559626437253,0.0
3.3913650512695312,-0.691994614397715,0.0
3.5586118698120117,0.8709892993964927,0.0
3.724622964859009,0.2728725140747732,0.0
3.893742084503174,-0.9999858371574516,0.0
4.057705879211426,0.2080562640831723,0.0
4.226630926132202,0.8876731931741502,0.0
4.390701055526733,-0.6400756216795993,0.0
4.559870004653931,-0.5684343050698618,0.0
4.727125883102417,0.9380496050453682,0.0
4.891403913497925,0.1350923137475011,0.0
5.05998420715332,-0.9916032613745263,0.0
5.227505207061768,0.3740117999503541,0.0
5.393726825714111,0.8122307796943796,0.0
5.559975862503052,-0.7595544873128036,0.0
5.727130174636841,-0.44261379796901157,0.0
5.894439935684204,0.9786186855056527,0.0
6.058653831481934,-0.010471624335339639,0.0
6.224549055099487,-0.9697928349369032,0.0
6.3913960456848145,0.4730295643225665,0.0
6.557969808578491,0.7411191735863463,0.0
6.724792957305908,-0.8316712972626025,0.0
6.893725872039795,-0.31424192955382935,0.0
7.057825088500977,0.9946720136881064,0.0
7.226716995239258,-0.1645553534704925,0.0
7.3937389850616455,-0.9157108052467167,0.0
7.560590982437134,0.6130280337759139,0.0
7.72662091255188,0.623723412789476,0.0
7.891170024871826,-0.8994822574303774,0.0
8.059412956237793,-0.18954642563063634,0.0
8.226603031158447,0.998239526240816,0.0
8.393204927444458,-0.2983724471518178,0.0
8.559212923049927,-0.857626626545961,0.0
8.727614879608154,0.7197238401569067,0.0
8.891602993011475,0.5245764189330591,0.0
9.059968948364258,-0.9584253467227744,0.0
9.226601839065552,-0.0453708762718032,0.0
9.39323115348816,0.9803530576687947,0.0
9.560106039047241,-0.43060826509887673,0.0
9.727596998214722,-0.7658141077513058,0.0
9.893603086471558,0.8049800217512214,0.0
10.060184001922607,0.38179934427656925,0.0
10.224212884902954,-0.9845302256299083,0.0
10.393710136413574,0.09888773849316258,0.0
10.558636903762817,0.9478272473270342,0.0
10.727307081222534,-0.5568700886611674,0.0
10.891355037689209,-0.6920733384216539,0.0
11.060878992080688,0.8828532727986013,0.0
11.224593877792358,0.273177261538435,0.0
11.393197059631348,-0.9999366296026094,0.0
11.558669090270996,0.21830526151741086,0.0
11.727208852767944,0.8847573531335966,0.0
11.890820026397705,-0.6410705815974223,0.0
12.059940099716187,-0.5678060724509056,0.0
12.225926876068115,0.9334450749724644,0.0
12.393290996551514,0.11470167026963092,0.0
12.560582160949707,-0.9907400969767509,0.0
12.72757601737976,0.3747269039790052,0.0
12.891179084777832,0.8281019293279032,0.0
13.057941913604736,-0.7449610565357356,0.0
13.22711181640625,-0.4427930749343622,0.0
13.391059875488281,0.9703858576098333,0.0
13.558879852294922,-0.01293301495518021,0.0
13.727513074874878,-0.9614147288563134,0.0
13.893600940704346,0.4940478944672012,0.0
14.059962034225464,0.7263790607219605,0.0
14.22534704208374,-0.8350068768044526,0.0
14.393189191818237,-0.31978535069633596,0.0
14.559936046600342,0.9967790087403529,0.0
14.726809024810791,-0.16554388808737117,0.0
14.893826961517334,-0.9153253684772038,0.0
15.057839155197144,0.5890783567222425,0.0
15.22656798362732,0.624173881606655,0.0
15.391348838806152,-0.9003314978312859,0.0
15.560055017471313,-0.1826760154897824,0.0
15.726691007614136,0.9981822394410483,0.0
15.89357304573059,-0.3021965442587496,0.0
16.060657024383545,-0.8494326683355697,0.0
16.227578163146973,0.7194461661649436,0.0
16.392674922943115,0.5146018841759088,0.0
16.55755305290222,-0.9505867664136026,0.0
16.724551916122437,-0.06766013926689017,0.0
16.890676975250244,0.9854600400534604,0.0
17.05823302268982,-0.4121092901767908,0.0
17.22458791732788,-0.786473224857014,0.0
17.390666007995605,0.7855933474089316,0.0
17.560054063796997,0.38310689538303966,0.0
17.724560022354126,-0.985185609340142,0.0
17.89164423942566,0.0764754938920168,0.0
18.060678005218506,0.9405072921759616,0.0
18.2275710105896,-0.559255273950221,0.0
18.39354109764099,-0.6746935235823353,0.0
18.558837890625,0.8721960286073954,0.0
18.724519968032837,0.2739514964484088,0.0
18.89287495613098,-0.999890985145518,0.0
19.058058977127075,0.2118161020156783,0.0
19.22469401359558,0.8971885099751713,0.0
19.393301010131836,-0.6615714424629088,0.0
19.5608389377594,-0.559720965403042,0.0
19.72679090499878,0.9367792612809658,0.0
19.891295909881592,0.1362576890189253,0.0
20.06032395362854,-0.9911179836123263,0.0
20.224586963653564,0.3443523417294335,0.0
20.39406681060791,0.8100652824725744,0.0
20.56080985069275,-0.7654309539249079,0.0
20.726833820343018,-0.4455056728435297,0.0
20.890789031982422,0.9696691030434966,0.0
21.06067705154419,-0.03250068666920586,0.0
21.227030992507935,-0.962845842090129,0.0
21.391047954559326,0.4696861170615888,0.0
21.558785915374756,0.7351227437224547,0.0
21.72610306739807,-0.8395090621927435,0.0
21.89397096633911,-0.3117067449127765,0.0
22.05792498588562,0.9947835837871684,0.0
22.226698875427246,-0.16436070020253896,0.0
22.391180992126465,-0.9265487285827828,0.0
22.55757999420166,0.5867952314117942,0.0
22.727288007736206,0.6180281648237529,0.0
22.894050121307373,-0.9127434722849957,0.0
23.06065797805786,-0.17621586488179286,0.0
23.224584817886353,0.9993019642481263,0.0
23.393519163131714,-0.3016371014583074,0.0
23.55965304374695,-0.8551517245622358,0.0
23.726801872253418,0.713548486131304,0.0
23.89092183113098,0.5308777102676087,0.0
24.06077480316162,-0.9608927042766479,0.0
24.224539041519165,-0.06780003271883764,0.0
24.391054153442383,0.9847537835047993,0.0
24.560210943222046,-0.431639131054378,0.0
24.727540016174316,-0.766213033685003,0.0
24.891660928726196,0.7922515131810559,0.0
25.060817003250122,0.37541864434190203,0.0
25.227537155151367,-0.9902271815252316,0.0
25.391304969787598,0.07279086472130848,0.0
25.559000968933105,0.9465558260928816,0.0
25.724530935287476,-0.5315065597001424,0.0
25.89389419555664,-0.6718501579345993,0.0
26.058068990707397,0.8680693105348177,0.0
26.223844051361084,0.2810237022332063,0.0
26.39351797103882,-0.9999698682110622,0.0
26.560800075531006,0.24089291876412763,0.0
26.72751784324646,0.8831840022110379,0.0
26.891322135925293,-0.6452578751772491,0.0
27.05951690673828,-0.5715939285654311,0.0
27.22735905647278,0.9389265038964405,0.0
27.391266107559204,0.1365792274429289,0.0
27.560269117355347,-0.9911972276435937,0.0
27.727500915527344,0.3739684531590446,0.0
27.891608953475952,0.8254684429962622,0.0
28.060125827789307,-0.7606158109994173,0.0
28.227677822113037,-0.4372576516860674,0.0
28.394267082214355,0.9782297490338685,0.0
28.560293197631836,-0.02832212622046848,0.0
28.727676153182983,-0.9609246125625216,0.0
28.891329050064087,0.47238659204524924,0.0
29.060252904891968,0.7241981881110716,0.0
29.226778984069824,-0.8434860162534104,0.0
29.391121864318848,-0.34103520116501973,0.0
29.55876922607422,0.9956794337541052,0.0
29.724519968032837,-0.14090918125940624,0.0
29.89407992362976,-0.914212426760344,0.0
30.057794094085693,0.5886817193043523,0.0
30.227519989013672,0.6160399916223015,0.0
30.390981197357178,-0.8985817564413514,0.0
30.558799982070923,-0.1960969450020974,0.0
30.724632024765015,0.9992826258106848,0.0
30.89128804206848,-0.27838329289505864,0.0
31.058034896850586,-0.8641538357965037,0.0
31.224263906478882,0.6939132150832446,0.0
31.392176151275635,0.5192518672904632,0.0
31.56050992012024,-0.9600898447837054,0.0
31.72451877593994,-0.06802023267314697,0.0
31.893524885177612,0.9797170393188144,0.0
32.06051802635193,-0.43465351330701874,0.0
32.224647998809814,-0.786068921000901,0.0
32.393877029418945,0.8067465366454861,0.0
32.560704946517944,0.37654949280439826,0.0
32.7246367931366,-0.9853286488674897,0.0
32.89425778388977,0.10482105973277395,0.0
33.0605571269989,0.940953777697227,0.0
33.224639892578125,-0.5325113319300476,0.0
33.39362192153931,-0.6740435579293395,0.0
33.557525873184204,0.8651176745792979,0.0
33.72452187538147,0.27393151842175395,0.0
33.8936607837677,-0.9999807327344367,0.0
34.06051707267761,0.23790040026894346,0.0
34.22463512420654,0.8974715787956475,0.0
34.393617153167725,-0.6641494110623057,0.0
34.5575270652771,-0.5892402318338257,0.0
34.72730588912964,0.9387270893234851,0.0
34.89092803001404,0.1402257437511033,0.0
35.05962014198303,-0.9921082062425225,0.0
35.22798204421997,0.37882299971975325,0.0
35.39152193069458,0.8260030294165351,0.0
35.560686111450195,-0.7645630374526085,0.0
35.727601051330566,-0.43800943330992514,0.0
35.891806840896606,0.9723188398146201,0.0
36.060774087905884,-0.033556918924795426,0.0
36.224271059036255,-0.9705269151600792,0.0
36.39447903633118,0.5023397643452825,0.0
36.55762815475464,0.7436121524355173,0.0
36.72458004951477,-0.8303815355660848,0.0
36.89155411720276,-0.33660605364704965,0.0
37.061036109924316,0.9976682642406007,0.0
37.22457790374756,-0.14153382712868107,0.0
37.39110803604126,-0.9268473272845118,0.0
37.55897498130798,0.599029025654879,0.0
37.72710084915161,0.6196293148294676,0.0
37.891505002975464,-0.9010703747437461,0.0
38.061014890670776,-0.1723882867507002,0.0
38.22674512863159,0.9981465427082623,0.0
38.394498109817505,-0.31178474584746685,0.0
38.557995080947876,-0.8643719687845655,0.0
38.72422814369202,0.6936327087532228,0.0
38.893620014190674,0.505749389407468,0.0
39.0578830242157,-0.9516963129746494,0.0
39.22461700439453,-0.06695287984380383,0.0
39.39361310005188,0.9795240693490882,0.0
39.561513900756836,-0.44439557122337076,0.0
39.72708606719971,-0.7693805359427818,0.0
39.89347815513611,0.8041720249596521,0.0
40.06076788902283,0.375914361743719,0.0
40.224632024765015,-0.9853197844865926,0.0
40.391502141952515,0.07493237211896166,0.0
40.55883479118347,0.947138014227689,0.0
40.727864027023315,-0.5618979117078018,0.0
40.89153718948364,-0.6906400249397632,0.0
41.06052088737488,0.8810149012559035,0.0
41.22462511062622,0.27285003161956084,0.0
41.39084315299988,-0.999319492265029,0.0
41.557992935180664,0.2111131142419722,0.0
41.72780108451843,0.88173297739364,0.0
41.891523122787476,-0.6469285849146076,0.0
42.06051802635193,-0.5626137811616606,0.0
42.22779321670532,0.9405431198600046,0.0
42.391517877578735,0.1338624215329629,0.0
42.560508012771606,-0.9908494149147238,0.0
42.72762393951416,0.37521073684842476,0.0
42.89362192153931,0.8128967088235405,0.0
43.059624910354614,-0.7570628396794009,0.0
43.227330923080444,-0.44065223967355915,0.0
43.3909330368042,0.9700512451566933,0.0
43.56053709983826,-0.030977261047450185,0.0
43.72772407531738,-0.9607800108519705,0.0
43.891212940216064,0.47127166389674274,0.0
44.057843923568726,0.7420389267103972,0.0
44.224524974823,-0.8300471746968109,0.0
44.393946170806885,-0.3119633240156104,0.0
44.561558961868286,0.9980407225485012,0.0
44.727210998535156,-0.169859721750898,0.0
44.894710063934326,-0.9114098849699411,0.0
45.060523986816406,0.6124514107732457,0.0
45.227822065353394,0.6134451833948742,0.0
45.39154291152954,-0.9012493426390435,0.0
45.56107497215271,-0.17174370726733543,0.0
45.72483205795288,0.9991977507717268,0.0
45.89134097099304,-0.27893690114620606,0.0
46.06053400039673,-0.8501389333322423,0.0
46.224509954452515,0.6958402428841308,0.0
46.3915319442749,0.5252350310091963,0.0
46.55916213989258,-0.9558811149728916,0.0
46.72600293159485,-0.05188576216139003,0.0
46.89440298080444,0.9777559357259714,0.0
47.05808091163635,-0.4105993224558167,0.0
47.22747015953064,-0.7667016908689003,0.0
47.392518758773804,0.7979176008371986,0.0
47.560697078704834,0.37662887175182524,0.0
47.728113889694214,-0.9910836323322318,0.0
47.89455699920654,0.10806125601446981,0.0
48.060752153396606,0.9402326058632039,0.0
48.22848105430603,-0.5674439734086899,0.0
48.392958879470825,-0.6793600999344909,0.0
48.55982208251953,0.8773889425672584,0.0
48.72450089454651,0.2741512702119784,0.0
48.89370393753052,-0.9999835397462531,0.0
49.06049203872681,0.23763557796151466,0.0
49.22798418998718,0.8807904750787753,0.0
49.39119100570679,-0.6441661839697981,0.0
49.55797600746155,-0.5852828042022105,0.0
49.72694802284241,0.9373766557826778,0.0
49.894593954086304,0.10059393047395693,0.0
