# Music-Motor Synchronization Data
# Song: Lacrimosa
# Pattern: complex
# BPM: 68.0
# Music Frequency: 1.133 Hz
# Phase Lag: 1981.69 ms
# Correlation: 0.003377
# RMS Difference: 0.428921

Time (s),Music Sinusoid,Actual Position (centered),Difference
0.2269899845123291,0.12997753397444167,0.42670440673828125,-0.2967268727638396
0.39213085174560547,0.04452585648578445,0.47759437561035156,-0.4330685191245671
0.5602149963378906,-0.09754836576506376,0.5133323669433594,-0.6108807327084231
0.7271950244903564,-0.11624526707710865,0.5223388671875,-0.6385841342646087
0.8933529853820801,0.010176404887712771,0.5081787109375,-0.49800230604978724
1.058182954788208,0.12355793301001372,0.4546527862548828,-0.3310948532448691
1.224438190460205,0.08438433664492753,0.3906974792480469,-0.30631314260311937
1.391554832458496,-0.060584224361174104,0.3783245086669922,-0.4389087330281663
1.5584590435028076,-0.12943563106596603,0.39258575439453125,-0.5220213854604973
1.7249979972839355,-0.03631133394932616,0.4508056640625,-0.4871169980118262
1.8914589881896973,0.10212424997497091,0.5113315582275391,-0.4092073082525681
2.060710906982422,0.11180226312580868,0.5197544097900391,-0.4079521466642304
2.2277259826660156,-0.020144820676465957,0.45949745178222656,-0.4796422724586925
2.391692876815796,-0.12613977125910253,0.3533897399902344,-0.4795295112493369
2.5609819889068604,-0.07486313549271398,0.2718391418457031,-0.3467022773384171
2.7261178493499756,0.06942876259605013,0.2621135711669922,-0.19268480857094206
2.893794059753418,0.12786683528926557,0.2889728546142578,-0.16110601932499224
3.060037851333618,0.025967229044639037,0.3779621124267578,-0.35199488338211876
