Time (s),User Amplitude,Original Position,Final Position,Actual Position
0.22551298141479492,0.55,5.964419791386405,3.280430885262523,3.2645697593688965
0.3922858238220215,0.55,6.041748466426421,3.322961656534532,3.293891429901123
0.5569789409637451,0.55,6.072192059743599,3.3397056328589794,3.3197340965270996
0.7239828109741211,0.55,6.067342521599369,3.3370383868796534,3.3205275535583496
0.8903059959411621,0.55,5.9575278495579855,3.2766403172568923,3.3205275535583496
1.0562059879302979,0.55,5.812905319361172,3.1970979256486447,3.2552218437194824
1.223390817642212,0.55,5.75783952632083,3.166811739476457,3.1993613243103027
1.3926830291748047,0.55,5.796926789312601,3.188309734121931,3.195708751678467
1.5580248832702637,0.55,5.905194267525417,3.2478568471389795,3.213080883026123
1.7255308628082275,0.55,6.041496363319869,3.322822999825928,3.286729335784912
1.8915340900421143,0.55,6.081342915720435,3.344738603646239,3.3217482566833496
2.059609889984131,0.55,5.988199889831457,3.293509939407302,3.3217482566833496
2.225571870803833,0.55,5.832319090281528,3.207775499654841,3.2528223991394043
2.3918657302856445,0.55,5.605853269968713,3.0832192984827924,3.118701457977295
2.557508707046509,0.55,5.552421599183357,3.0538318795508466,3.0644736289978027
2.725519895553589,0.55,5.589860376426235,3.0744232070344295,3.062285900115967
2.8925938606262207,0.55,5.754488204323841,3.164968512378113,3.1028475761413574
3.0579588413238525,0.55,5.922326969666788,3.2572798333167334,3.2286601066589355
3.225739002227783,0.55,6.119771511540764,3.3658743313474204,3.326655864715576
3.3909518718719482,0.55,6.237985379840684,3.4308919589123765,3.3751444816589355
3.558729887008667,0.55,6.22687540792824,3.4247814743605325,3.3968214988708496
3.725606918334961,0.55,6.06683793982632,3.3367608669044766,3.3968214988708496
3.891662120819092,0.55,5.861722499598339,3.2239473747790868,3.285996913909912
4.0588037967681885,0.55,5.7295790488482545,3.1512684768665404,3.181464672088623
4.225559949874878,0.55,5.711279768915642,3.141203872903603,3.153472423553467
4.392504930496216,0.55,5.813547796474864,3.1974512880611754,3.1578192710876465
4.558840036392212,0.55,5.950464353015733,3.272755394158654,3.243110179901123
4.725344896316528,0.55,6.039829188447858,3.3219060536463223,3.2898364067077637
4.892683982849121,0.55,6.058338694087957,3.3320862817483765,3.3095412254333496
5.0591139793396,0.55,5.931128908577063,3.262120899717385,3.308793544769287
5.225574731826782,0.55,5.763625923321187,3.169994257826653,3.213286876678467
5.392615795135498,0.55,5.63016641243899,3.0965915268414443,3.1218714714050293
5.558993816375732,0.55,5.552672385135525,3.0539698118245386,3.074000835418701
5.725895881652832,0.55,5.628734804315891,3.09580414237374,3.072661876678467
5.891993761062622,0.55,5.786172302571958,3.1823947664145775,3.1504015922546387
6.057283878326416,0.55,6.02440086825152,3.3134204775383367,3.275998592376709
6.225595951080322,0.55,6.213828586952285,3.4176057228237573,3.3695273399353027
6.392552852630615,0.55,6.300193412632101,3.4651063769476558,3.422168254852295
6.557189702987671,0.55,6.214598755488214,3.4180293155185177,3.4257521629333496
6.725799798965454,0.55,6.045256244498951,3.3248909344744235,3.418921947479248
6.89155387878418,0.55,5.891164468830228,3.2401404578566257,3.282134532928467
7.058824777603149,0.55,5.80926932824929,3.19509813053711,3.2225565910339355
7.225399971008301,0.55,5.790398086283776,3.1847189474560773,3.203521251678467
7.392199754714966,0.55,5.8831194461213085,3.23571569536672,3.2043662071228027
7.559010028839111,0.55,5.981425562419539,3.2897840593307466,3.2530550956726074
7.7255589962005615,0.55,6.059183020271446,3.3325506611492957,3.297271251678467
