Time (s),User Amplitude,Original Position,Final Position,Actual Position
0.2275681495666504,0.25,-62.86755494397322,-15.716888735993304,-15.840496063232422
0.39340782165527344,0.25,-61.136994720983516,-15.284248680245879,-15.399974822998047
0.5612730979919434,0.25,-68.16434122004816,-17.04108530501204,-16.903949737548828
0.7274959087371826,0.25,-70.21730358550488,-17.55432589637622,-17.605945587158203
0.8932340145111084,0.25,-60.58650822803628,-15.14662705700907,-15.026542663574219
1.0586280822753906,0.25,-59.07854476765638,-14.769636191914095,-14.373733520507812
1.2259819507598877,0.25,-69.35746377570867,-17.339365943927167,-17.004091262817383
1.392868995666504,0.25,-70.71281592401398,-17.678203981003495,-17.897260665893555
1.561413049697876,0.25,-60.584786107717136,-15.146196526929284,-15.257604598999023
1.7273619174957275,0.25,-58.128442150703535,-14.532110537675884,-14.279596328735352
1.894773006439209,0.25,-69.35710879947594,-17.339277199868985,-17.013235092163086
2.0605859756469727,0.25,-70.71669556517467,-17.67917389129367,-18.072145462036133
2.2264821529388428,0.25,-62.034117311524305,-15.508529327881076,-15.299562454223633
2.3915340900421143,0.25,-58.1336554790178,-14.53341386975445,-14.306304931640625
2.5607128143310547,0.25,-67.99507304006585,-16.998768260016462,-16.75424575805664
2.7257068157196045,0.25,-71.51972570516783,-17.879931426291957,-18.002029418945312
2.8917229175567627,0.25,-60.58651329185935,-15.146628322964837,-15.555793762207031
3.060480833053589,0.25,-57.488463377368795,-14.372115844342199,-14.199203491210938
3.2269599437713623,0.25,-67.99814166909026,-16.999535417272565,-16.820022583007812
3.3920528888702393,0.25,-71.48756262932613,-17.871890657331534,-18.138254165649414
3.5592269897460938,0.25,-61.77311067353312,-15.44327766838328,-15.60403060913086
3.7276620864868164,0.25,-58.484336098946315,-14.621084024736579,-14.276479721069336
3.8925411701202393,0.25,-67.9509861109435,-16.987746527735876,-16.536802291870117
4.060167074203491,0.25,-71.06838045851644,-17.76709511462911,-17.903148651123047
4.227437973022461,0.25,-62.2254571247802,-15.55636428119505,-15.751819610595703
4.39435887336731,0.25,-58.85280508418213,-14.713201271045532,-14.49726676940918
4.560703992843628,0.25,-66.29241884175048,-16.57310471043762,-16.536151885986328
4.726067781448364,0.25,-69.89120943035522,-17.472802357588805,-17.706605911254883
4.891982078552246,0.25,-63.62421191897085,-15.906052979742713,-15.962820053100586
5.060343027114868,0.25,-59.06837382024848,-14.76709345506212,-14.651996612548828
5.224722862243652,0.25,-66.15302428592953,-16.538256071482383,-16.257793426513672
5.3939149379730225,0.25,-70.05393906264482,-17.513484765661204,-17.659666061401367
5.559225082397461,0.25,-62.51158220189664,-15.62789555047416,-16.010099411010742
5.726806879043579,0.25,-58.165816399743484,-14.541454099935871,-14.529062271118164
5.8916919231414795,0.25,-65.06861629200263,-16.267154073000658,-16.34572410583496
6.058944940567017,0.25,-71.95274055503853,-17.988185138759633,-18.105209350585938
6.2259790897369385,0.25,-63.39824960331672,-15.84956240082918,-16.092559814453125
6.394245147705078,0.25,-57.19266574527296,-14.29816643631824,-14.183137893676758
6.55928897857666,0.25,-66.74639399707009,-16.68659849926752,-16.101726531982422
6.725271940231323,0.25,-72.13536799748157,-18.03384199937039,-18.168193817138672
6.894054174423218,0.25,-63.261182707945196,-15.815295676986299,-16.079374313354492
7.060679197311401,0.25,-57.22376743925194,-14.305941859812984,-14.158439636230469
7.225340127944946,0.25,-65.29082579079768,-16.32270644769942,-16.16326141357422
7.393341064453125,0.25,-71.8868208463103,-17.971705211577575,-18.128116607666016
7.560487985610962,0.25,-64.73663796324607,-16.184159490811517,-16.379268646240234
7.727281093597412,0.25,-57.16441409881037,-14.291103524702592,-14.159481048583984
7.892178058624268,0.25,-65.3597895121926,-16.33994737804815,-16.035737991333008
8.061277866363525,0.25,-72.12907046021306,-18.032267615053264,-18.163753509521484
8.2286057472229,0.25,-64.73666609639044,-16.18416652409761,-16.223926544189453
8.393758773803711,0.25,-57.16399940447102,-14.290999851117755,-14.196952819824219
8.56131911277771,0.25,-63.73983900672791,-15.934959751681978,-15.83401870727539
8.727389812469482,0.25,-72.13608444976859,-18.034021112442147,-18.0931396484375
8.894323825836182,0.25,-64.73679351904018,-16.184198379760044,-16.55950927734375
9.059527158737183,0.25,-57.507221920130334,-14.376805480032584,-14.194154739379883
9.227885007858276,0.25,-65.2638495349571,-16.315962383739276,-15.797910690307617
9.394375085830688,0.25,-70.63767020545079,-17.659417551362697,-17.762514114379883
9.560893774032593,0.25,-65.99781423088908,-16.49945355772227,-16.402957916259766
9.725756168365479,0.25,-58.73192146855341,-14.682980367138352,-14.645792007446289
9.893715858459473,0.25,-63.82059779588462,-15.955149448971156,-15.701480865478516
10.060235977172852,0.25,-70.4276260835417,-17.606906520885424,-17.66248321533203
10.22509503364563,0.25,-66.10794378436435,-16.526985946091088,-16.77872085571289
10.392946004867554,0.25,-58.69810123788638,-14.674525309471594,-14.599420547485352
10.558570861816406,0.25,-63.72397289630266,-15.930993224075666,-15.584699630737305
10.726974964141846,0.25,-70.55645657550775,-17.639114143876938,-17.64231300354004
10.891824007034302,0.25,-66.17980597331106,-16.544951493327765,-16.747648239135742
11.058889865875244,0.25,-58.084147943136884,-14.521036985784221,-14.643693923950195
