Time (s),User Amplitude,Original Position,Final Position,Actual Position
0.2273728847503662,0.2,-89.21878428850117,-17.843756857700235,-17.843761444091797
0.3914000988006592,0.2,-89.21876410812428,-17.843752821624857,-17.843761444091797
0.560736894607544,0.2,-89.23533402797612,-17.847066805595226,-17.843761444091797
0.7259249687194824,0.2,-89.18632178269523,-17.83726435653905,-17.843761444091797
0.893035888671875,0.2,-89.06535516029184,-17.81307103205837,-17.830833435058594
1.060110092163086,0.2,-89.50898998651235,-17.90179799730247,-17.85048484802246
1.2283990383148193,0.2,-89.35585205261312,-17.871170410522623,-17.868635177612305
1.3929290771484375,0.2,-88.56249573931062,-17.712499147862125,-17.747007369995117
1.5606560707092285,0.2,-89.31043561460096,-17.862087122920194,-17.800268173217773
1.7251560688018799,0.2,-90.1946492536429,-18.03892985072858,-18.0104923248291
1.8941280841827393,0.2,-88.37566492504816,-17.675132985009633,-17.76639747619629
2.0606770515441895,0.2,-88.41791134701768,-17.683582269403537,-17.602794647216797
2.227648973464966,0.2,-90.47163156503643,-18.094326313007286,-18.087020874023438
2.393533229827881,0.2,-89.58735888217434,-17.91747177643487,-18.031829833984375
2.5609278678894043,0.2,-87.41448539136317,-17.482897078272636,-17.494665145874023
2.7278289794921875,0.2,-89.57194693214014,-17.914389386428027,-17.89361000061035
2.8924152851104736,0.2,-90.80899916779389,-18.161799833558778,-18.224225997924805
3.060148239135742,0.2,-88.04604750938155,-17.60920950187631,-17.643756866455078
3.2276899814605713,0.2,-87.95346644648887,-17.590693289297775,-17.491300582885742
3.3947269916534424,0.2,-91.78181122961838,-18.356362245923677,-18.280704498291016
3.5606391429901123,0.2,-89.63612993033938,-17.927225986067878,-18.07946014404297
3.7276909351348877,0.2,-85.42229854852715,-17.08445970970543,-17.08534049987793
3.89377498626709,0.2,-91.49339272834463,-18.298678545668928,-17.992431640625
4.0601561069488525,0.2,-93.58579242563125,-18.71715848512625,-18.808528900146484
4.226917028427124,0.2,-85.35650001288492,-17.071300002576987,-17.154512405395508
4.394910097122192,0.2,-86.98801716491482,-17.397603432982965,-17.129240036010742
4.55861496925354,0.2,-94.28186759889027,-18.856373519778057,-18.911659240722656
4.727169990539551,0.2,-88.2984106330154,-17.65968212660308,-18.07880973815918
4.8943212032318115,0.2,-84.75584240600344,-16.95116848120069,-16.824888229370117
5.059542894363403,0.2,-91.6560787666747,-18.33121575333494,-18.195905685424805
5.2272632122039795,0.2,-92.33928935884055,-18.46785787176811,-18.705476760864258
5.394280195236206,0.2,-85.46882075361755,-17.093764150723512,-17.09090232849121
5.560582160949707,0.2,-88.68528652744581,-17.737057305489163,-17.338438034057617
5.725583076477051,0.2,-93.09759345868017,-18.619518691736033,-18.685894012451172
5.89362907409668,0.2,-89.14759601249743,-17.829519202499487,-17.839426040649414
6.061031103134155,0.2,-86.08015021059931,-17.216030042119865,-17.096214294433594
6.227902173995972,0.2,-91.25208279446214,-18.25041655889243,-18.156343460083008
6.393709897994995,0.2,-91.24231096908073,-18.24846219381615,-18.388080596923828
6.560330152511597,0.2,-86.31610851235031,-17.263221702470062,-17.33411979675293
