Time (s),User Amplitude,Original Position,Final Position,Actual Position
0.22702503204345703,0.6,-3.5620201392134887,-2.137212083528093,-2.195260524749756
0.393416166305542,0.6,-3.701091252972959,-2.2206547517837754,-2.1950602531433105
0.5612661838531494,0.6,-3.6459942586887935,-2.187596555213276,-2.1955389976501465
0.7251739501953125,0.6,-3.629903293783657,-2.177941976270194,-2.1945910453796387
0.8944759368896484,0.6,-3.9302000588712627,-2.3581200353227576,-2.2517619132995605
1.058779001235962,0.6,-3.507135121261839,-2.1042810727571033,-2.2381129264831543
1.2258780002593994,0.6,-3.466991728925187,-2.080195037355112,-2.0495200157165527
1.3936760425567627,0.6,-3.8073973617466326,-2.2844384170479795,-2.2006945610046387
1.561398983001709,0.6,-3.541801346133345,-2.125080807680007,-2.20076322555542
1.727618932723999,0.6,-3.694784533054183,-2.2168707198325097,-2.1744093894958496
1.8943469524383545,0.6,-3.9347246219233485,-2.360834773154009,-2.3210272789001465
2.060844898223877,0.6,-3.3494867057684203,-2.009692023461052,-2.140368938446045
2.2271342277526855,0.6,-3.424641471787958,-2.0547848830727746,-2.0307154655456543
2.393808126449585,0.6,-3.7935876974747638,-2.276152618484858,-2.2073798179626465
2.559826135635376,0.6,-3.5151269902263413,-2.1090761941358047,-2.1966280937194824
2.7259681224823,0.6,-3.8177332485734183,-2.290639949144051,-2.2222132682800293
2.8940160274505615,0.6,-3.8168469558491243,-2.2901081735094744,-2.317206859588623
3.058542013168335,0.6,-3.3958000156953716,-2.037480009417223,-2.1014723777770996
3.227419137954712,0.6,-3.6838896129293985,-2.210333767757639,-2.128617763519287
3.3959100246429443,0.6,-3.7301783490954254,-2.2381070094572553,-2.2161688804626465
3.560746192932129,0.6,-3.4748102230650235,-2.084886133839014,-2.1567816734313965
3.7262990474700928,0.6,-4.005096259847824,-2.4030577559086943,-2.2821078300476074
3.8938660621643066,0.6,-3.6338987774336005,-2.18033926646016,-2.3295817375183105
4.060643911361694,0.6,-3.339106998902084,-2.0034641993412503,-2.0390734672546387
4.227193117141724,0.6,-3.8209811523305115,-2.292588691398307,-2.2055487632751465
4.394154071807861,0.6,-3.620816039820442,-2.172489623892265,-2.236358165740967
4.559357166290283,0.6,-3.585084002229228,-2.1510504013375367,-2.1798300743103027
4.727829933166504,0.6,-3.974903222414536,-2.3849419334487214,-2.2914462089538574
4.892778158187866,0.6,-3.5462285823215165,-2.12773714939291,-2.2454752922058105
5.058686017990112,0.6,-3.4265485477368736,-2.055929128642124,-2.0306429862976074
5.225847959518433,0.6,-3.8087934216224637,-2.285276052973478,-2.209519863128662
5.393985033035278,0.6,-3.5472117604709816,-2.128327056282589,-2.208768367767334
5.558691024780273,0.6,-3.7960729589279194,-2.2776437753567516,-2.194314479827881
5.72687292098999,0.6,-3.95571766753146,-2.373430600518876,-2.3318915367126465
5.893311262130737,0.6,-3.515495542462439,-2.1092973254774634,-2.2029948234558105
6.058715105056763,0.6,-3.4754439930737324,-2.0852663958442395,-2.051858425140381
6.227131128311157,0.6,-3.7822057297685303,-2.269323437861118,-2.2054152488708496
6.393501043319702,0.6,-3.544514879107088,-2.1267089274642528,-2.2010607719421387
6.560301065444946,0.6,-3.8397405345194833,-2.30384432071169,-2.2055811882019043
6.727199077606201,0.6,-3.9206185721078834,-2.35237114326473,-2.3191962242126465
6.893122911453247,0.6,-3.398829958630206,-2.0392979751781235,-2.1408419609069824
7.060610055923462,0.6,-3.571609070473471,-2.1429654422840825,-2.082274913787842
7.226264953613281,0.6,-3.7569459867685095,-2.2541675920611057,-2.1926093101501465
7.394195079803467,0.6,-3.5359498897411057,-2.1215699338446634,-2.1887316703796387
7.561084032058716,0.6,-3.89602702173928,-2.337616213043568,-2.2406516075134277
7.743808031082153,0.6,-3.748259378917173,-2.2489556273503037,-2.3226332664489746
7.913403034210205,0.6,-3.331580949799244,-1.9989485698795464,-2.0344271659851074
8.082311153411865,0.6,-3.7499032234775616,-2.2499419340865368,-2.1622824668884277
8.24306607246399,0.6,-3.6346092017969553,-2.180765521078173,-2.2041850090026855
8.41094708442688,0.6,-3.64175073479464,-2.185050440876784,-2.2017874717712402
8.577670097351074,0.6,-3.9752246469340635,-2.385134788160438,-2.309802532196045
8.746287107467651,0.6,-3.45014881329444,-2.0700892879766637,-2.2313475608825684
8.978925943374634,0.6,-3.564691455809059,-2.1388148734854355,-2.044307231903076
9.147669076919556,0.6,-3.831835225295863,-2.299101135177518,-2.2376532554626465
9.311166048049927,0.6,-3.498373999961994,-2.0990243999771963,-2.2037158012390137
9.48025894165039,0.6,-3.8322912900422286,-2.299374774025337,-2.2088217735290527
9.645865201950073,0.6,-3.7995311221805412,-2.2797186733083246,-2.278378963470459
9.813338994979858,0.6,-3.3582318598078897,-2.014939115884734,-2.0852770805358887
9.979099988937378,0.6,-3.686550912442966,-2.2119305474657796,-2.135972499847412
10.1476571559906,0.6,-3.736870614268328,-2.2421223685609966,-2.2158026695251465
10.313540935516357,0.6,-3.545748192831925,-2.127448915699155,-2.1750597953796387
10.48098111152649,0.6,-4.012548058845654,-2.4075288353073923,-2.305053234100342
10.647088050842285,0.6,-3.657414544278761,-2.1944487265672565,-2.3099112510681152
10.813590049743652,0.6,-3.3920683543361103,-2.035241012601666,-2.0280871391296387
10.984143018722534,0.6,-3.7563061487467406,-2.2537836892480443,-2.193101406097412
11.145710945129395,0.6,-3.5954028612776767,-2.157241716766606,-2.2081522941589355
11.3126380443573,0.6,-3.615368099319138,-2.1692208595914826,-2.168191432952881
11.48105525970459,0.6,-4.392342090819307,-2.6354052544915842,-2.5688281059265137
11.64720606803894,0.6,-3.033354607396705,-1.820012764438023,-2.1031718254089355
11.813141107559204,0.6,-2.9138223761398607,-1.7482934256839164,-1.6700892448425293
11.98067021369934,0.6,-4.569156964176407,-2.7414941785058438,-2.704738140106201
12.147207021713257,0.6,-2.8207896657750355,-1.6924737994650212,-1.8360209465026855
12.314064979553223,0.6,-3.8925874010753625,-2.3355524406452175,-2.010859966278076
12.481303930282593,0.6,-4.972642723769675,-2.9835856342618046,-3.0712828636169434
12.645962953567505,0.6,-2.2672171966110652,-1.360330317966639,-1.4375243186950684
12.812449932098389,0.6,-3.3000352672305553,-1.980021160338333,-1.82527494430542
12.980063199996948,0.6,-4.61884073140978,-2.7713044388458683,-2.940446376800537
13.146535158157349,0.6,-1.9838409944719364,-1.1903045966831618,-1.300055980682373
13.313941955566406,0.6,-5.265380075964962,-3.159228045578977,-2.9553580284118652
13.479480981826782,0.6,-4.3600112724255995,-2.6160067634553594,-3.397731304168701
13.647244930267334,0.6,-0.45887675741784095,-0.27532605445070457,-0.12172460556030273
13.813512086868286,0.6,-4.327314320196154,-2.5963885921176924,-2.6709704399108887
13.981426000595093,0.6,-4.066534458058432,-2.4399206748350593,-2.9704031944274902
14.14699411392212,0.6,-1.6743609945201199,-1.004616596712072,-0.6866583824157715
