# Music-Motor Synchronization Data
# Song: So Easy
# Pattern: complex
# BPM: 104.0
# Music Frequency: 1.733 Hz
# Phase Lag: 3009.44 ms
# Correlation: 0.164359
# Mean Peak Offset: 17471.67 ms
# Peak Offset Std: 15634.28 ms
# Number of Peaks: 110

# Peak Timing Offsets (Positive = Motor Late)
Peak Time (s),Timing Offset (ms)
0.7252140045166016,46835.52575111389
1.226733922958374,46334.00583267212
1.8937098979949951,45667.0298576355
2.394113779067993,45166.6259765625
3.0591719150543213,44501.56784057617
3.560650110244751,44000.08964538574
4.227123022079468,43333.616733551025
4.727932929992676,42832.80682563782
5.392627954483032,42168.11180114746
5.893157005310059,41667.582750320435
6.560154914855957,41000.584840774536
7.06023097038269,40500.5087852478
7.7270448207855225,39833.69493484497
8.227137804031372,39333.60195159912
8.726867914199829,38833.871841430664
9.39307975769043,38167.65999794006
9.89451813697815,37666.221618652344
10.560019969940186,37000.71978569031
11.056864023208618,36503.875732421875
11.727009057998657,35833.730697631836
12.226861953735352,35333.87780189514
12.89295482635498,34667.78492927551
13.39335584640503,34167.383909225464
14.05981707572937,33500.92267990112
14.560506820678711,33000.23293495178
15.227593898773193,32333.1458568573
15.72732400894165,31833.415746688843
16.22664785385132,31334.091901779175
16.894697904586792,30666.0418510437
17.393735885620117,30167.003870010376
18.060977935791016,29499.761819839478
18.560609817504883,29000.12993812561
19.224812746047974,28335.92700958252
19.7268009185791,27833.93883705139
20.39427375793457,27166.465997695923
20.89373803138733,26667.001724243164
21.56058979034424,26000.149965286255
22.057288885116577,25503.450870513916
22.726943016052246,24833.796739578247
23.225324869155884,24335.41488647461
23.724777936935425,23835.96181869507
24.39284586906433,23167.893886566162
24.893829822540283,22666.90993309021
25.560256004333496,22000.483751296997
26.05931806564331,21501.421689987183
26.726728916168213,20834.01083946228
27.22797393798828,20332.765817642212
27.891312837600708,19669.426918029785
28.394511938095093,19166.2278175354
29.06067204475403,18500.067710876465
29.56082010269165,17999.919652938843
30.225761890411377,17334.977865219116
30.727938890457153,16832.80086517334
31.225343942642212,16335.395812988281
31.893790006637573,15666.94974899292
32.39332580566406,15167.41394996643
33.06119513511658,14499.544620513916
33.559319734573364,14001.420021057129
34.22699189186096,13333.747863769531
34.72740983963013,12833.329916000366
35.39355492591858,12167.184829711914
35.89371991157532,11667.019844055176
36.56139397621155,10999.345779418945
