# Music-Motor Synchronization Data
# Song: Lacrimosa
# Pattern: simple
# BPM: 68.0
# Music Frequency: 1.133 Hz
# Phase Lag: 3550.41 ms
# Correlation: 0.053854
# RMS Difference: 0.157656

Time (s),Music Sinusoid,Actual Position (centered),Difference
0.23881912231445312,0.16569404033896049,0.015321731567382812,0.15037230877157767
0.4078860282897949,0.039245481441226956,0.04904747009277344,-0.009801988651546481
0.5746622085571289,-0.13597218198211675,0.0618896484375,-0.19786183041961675
0.7408571243286133,-0.14129324787453088,0.057575225830078125,-0.198868473704609
0.9065463542938232,0.028639345884188278,-0.0017108917236328125,0.03035023760782109
1.0714211463928223,0.16290672578402413,-0.09325599670410156,0.25616272248812566
1.2408230304718018,0.09282912689094956,-0.14025497436523438,0.23308410125618395
1.406736135482788,-0.09330777541628062,-0.11733436584472656,0.024026590428445946
1.5730211734771729,-0.1635753959728432,-0.03214263916015625,-0.13143275681268696
1.7416691780090332,-0.02730117571915386,0.08373451232910156,-0.11103568804825542
1.907534122467041,0.14212329868412146,0.1598949432373047,-0.017771644553183225
2.0714502334594727,0.13663461260938753,0.1667957305908203,-0.030161117981432783
2.239917039871216,-0.04008724410277502,0.09477043151855469,-0.13485767562132972
2.4073173999786377,-0.16554581648428696,-0.04293632507324219,-0.12260949141104477
2.574409246444702,-0.08265777903323107,-0.14414596557617188,0.061488186542940804
2.7412772178649902,0.10387223777441777,-0.1644001007080078,0.2682723384824256
2.9074621200561523,0.16043458716852435,-0.11147880554199219,0.2719133927105165
3.074171304702759,0.016728919440282968,-0.01934814453125,0.03607706397153297
3.2405991554260254,-0.1477541744409028,0.08209228515625,-0.2298464595971528
3.407494306564331,-0.12753748437611742,0.1349773406982422,-0.26251482507435964
3.5734241008758545,0.051493073789125536,0.14553260803222656,-0.09403953424310102
3.7419192790985107,0.16682183423171631,0.0677947998046875,0.09902703442702881
3.908060312271118,0.07199374819697255,-0.05317497253417969,0.12516872073115223
4.07210111618042,-0.11052095157770286,-0.14679908752441406,0.0362781359467112
4.240765333175659,-0.15680018135368534,-0.1659870147705078,0.00918683341682247
4.405118227005005,-0.00793741464456432,-0.10716438293457031,0.09922696829000599
4.5734031200408936,0.15257880416290068,0.00814056396484375,0.14443824019805693
4.739767074584961,0.120579304048418,0.1026611328125,0.017918171235918004
4.907448053359985,-0.0632092635889617,0.15799522399902344,-0.22120448758798514
5.07262921333313,-0.1670962815700245,0.1511058807373047,-0.31820216230732923
5.240076065063477,-0.06276407185466978,0.04920005798339844,-0.11196412983806822
5.405271053314209,0.11885095741189024,-0.06956291198730469,0.1884138693991949
5.574066162109375,0.15240896032751536,-0.14327239990234375,0.29568136022985914
5.740411281585693,-0.006046337509852554,-0.1609821319580078,0.15493579444815525
5.907095193862915,-0.15710250199643802,-0.08855819702148438,-0.06854430497495365
6.072427034378052,-0.11281527760325137,0.026235580444335938,-0.13905085804758732
6.24069619178772,0.07374590440675148,0.1190032958984375,-0.04525739149168602
6.406863212585449,0.16669607628609853,0.168212890625,-0.0015168143389014677
6.573454141616821,0.051766871118222896,0.13686752319335938,-0.08510065207513648
