# Music-Motor Synchronization Data
# Song: Lacrimosa
# Pattern: complex
# BPM: 125.0
# Music Frequency: 2.083 Hz
# Phase Lag: 6373.48 ms
# Correlation: 0.218932
# Mean Peak Offset: 3357.35 ms
# Peak Offset Std: 6644.72 ms
# Number of Peaks: 122

# Peak Timing Offsets (Positive = Motor Late)
Peak Time (s),Timing Offset (ms)
0.5625159740447998,19831.483125686646
1.0603671073913574,19333.631992340088
1.561182975769043,18832.816123962402
2.0621538162231445,18331.8452835083
2.562570810317993,17831.428289413452
3.0627241134643555,17331.27498626709
3.559213876724243,16834.785223007202
3.895763874053955,16498.23522567749
4.394888877868652,15999.110221862793
4.895202875137329,15498.796224594116
5.3950581550598145,14998.94094467163
5.892586946487427,14501.412153244019
6.395464897155762,13998.534202575684
6.895159006118774,13498.84009361267
7.394803047180176,12999.19605255127
7.727226972579956,12666.77212715149
8.229007005691528,12164.992094039917
8.72737717628479,11666.621923446655
9.228424072265625,11165.57502746582
9.728386878967285,10665.61222076416
10.229207038879395,10164.79206085205
10.729480981826782,9664.518117904663
11.230669021606445,9163.330078125
11.563076972961426,8830.92212677002
12.0624680519104,8331.531047821045
12.562066078186035,7831.93302154541
13.062927961349487,7331.071138381958
13.562141180038452,6831.857919692993
14.061329126358032,6332.669973373413
14.561503887176514,5832.495212554932
15.06232500076294,5331.674098968506
15.89531683921814,4498.682260513306
16.3961980342865,3997.8010654449463
16.895377159118652,3498.621940612793
17.395412921905518,2998.5861778259277
17.896296977996826,2497.702121734619
18.394110918045044,1999.8881816864014
18.895380973815918,1498.6181259155273
19.39542007446289,998.5790252685547
19.726360082626343,667.6390171051025
20.229290008544922,164.70909118652344
20.72913908958435,-335.1399898529053
21.22700309753418,-833.0039978027344
21.728995084762573,-1334.995985031128
22.229002952575684,-1835.0038528442383
22.729273080825806,-2335.2739810943604
23.229378938674927,-2835.3798389434814
23.561983823776245,-3167.9847240448
24.061497926712036,-3667.498826980591
24.563005924224854,-4169.006824493408
25.063267946243286,-4669.268846511841
25.56262993812561,-5168.630838394165
26.060832023620605,-5666.83292388916
26.562474012374878,-6168.474912643433
27.0612530708313,-6667.2539710998535
27.559805870056152,-7165.806770324707
27.895978927612305,-7501.979827880859
28.39409303665161,7334.754943847656
28.895239114761353,6833.608865737915
29.396264791488647,6332.58318901062
29.895493984222412,5833.3539962768555
30.393593072891235,5335.254907608032
30.89574098587036,4833.106994628906
31.394357919692993,4334.490060806274
31.729246854782104,3999.601125717163
32.22835183143616,3500.4961490631104
32.729651927948,2999.1960525512695
33.22907590866089,2499.772071838379
33.728959798812866,1999.8881816864014
34.22896099090576,1499.8869895935059
34.72890591621399,999.9420642852783
35.22779583930969,501.0521411895752
35.56248116493225,166.3668155670166
36.06275796890259,-333.9099884033203
36.5616250038147,167.24085807800293
37.06318497657776,-334.3191146850586
37.562578201293945,166.40162467956543
38.059520959854126,-330.54113388061523
38.56212282180786,0.0
39.05943012237549,-497.30730056762695
39.892969846725464,-329.84280586242676
40.39614510536194,165.4977798461914
40.89435005187988,-332.70716667175293
41.39620804786682,166.07284545898438
41.89446187019348,-332.1809768676758
42.395634174346924,0.0
42.895835161209106,498.4877109527588
43.394322872161865,0.0
43.7278618812561,-333.5390090942383
44.229129791259766,-834.8069190979004
44.72861313819885,-1334.2902660369873
45.22922682762146,-1834.9039554595947
45.72736978530884,-2333.0469131469727
46.2284619808197,-2834.139108657837
46.72933006286621,-3335.0071907043457
47.228819847106934,-3834.4969749450684
47.563472032547,-4169.149160385132
48.06150794029236,-4667.185068130493
48.56216788291931,-5167.845010757446
49.060816049575806,-5666.49317741394
49.56282305717468,-6168.500185012817
50.06309485435486,-6668.771982192993
